State         Time      Voltage         mAhg        LixFe3O4      Elect_Conc      Solid_Conc        Reaction
  CDR        hours        Volts         mAhg        LixFe3O4         mol/cm3        LixFe3O4               ,
    D      0.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48361E+02     7.53559-315
    D      0.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48289E+02     7.53559-315
    D      1.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48276E+02     7.53559-315
    D      1.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48265E+02     7.53559-315
    D      2.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48254E+02     7.53559-315
    D      2.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48244E+02     7.53559-315
    D      3.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48235E+02     7.53559-315
    D      3.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48226E+02     7.53559-315
    D      4.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48217E+02     7.53559-315
    D      4.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48209E+02     7.53559-315
    D      5.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48202E+02     7.53559-315
    D      5.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48194E+02     7.53559-315
    D      6.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48187E+02     7.53559-315
    D      6.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48180E+02     7.53559-315
    D      7.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48173E+02     7.53559-315
    D      7.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48166E+02     7.53559-315
    D      8.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48160E+02     7.53559-315
    D      8.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48153E+02     7.53559-315
    D      9.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48147E+02     7.53559-315
    D      9.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48141E+02     7.53559-315
    D     10.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48135E+02     7.53559-315
    D     10.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48129E+02     7.53559-315
    D     11.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48124E+02     7.53559-315
    D     11.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48118E+02     7.53559-315
    D     12.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48112E+02     7.53559-315
    D     12.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48107E+02     7.53559-315
    D     13.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48101E+02     7.53559-315
    D     13.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48096E+02     7.53559-315
    D     14.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48091E+02     7.53559-315
    D     14.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48086E+02     7.53559-315
    D     15.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48081E+02     7.53559-315
    D     15.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48075E+02     7.53559-315
    D     16.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48070E+02     7.53559-315
    D     16.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48065E+02     7.53559-315
    D     17.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48061E+02     7.53559-315
    D     17.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48056E+02     7.53559-315
    D     18.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48051E+02     7.53559-315
    D     18.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48046E+02     7.53559-315
    D     19.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48041E+02     7.53559-315
    D     19.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48037E+02     7.53559-315
    D     20.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48032E+02     7.53559-315
    D     20.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48027E+02     7.53559-315
    D     21.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48023E+02     7.53559-315
    D     21.50000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48018E+02     7.53559-315
    D     22.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     1.48014E+02     7.53559-315
