State         Time      Voltage         mAhg        LixFe3O4      Elect_Conc      Solid_Conc        Reaction
  CDR        hours        Volts         mAhg        LixFe3O4         mol/cm3        LixFe3O4               ,
    D      0.00000      0.00000      0.00000     0.00000E+00     1.00000E-03     0.00000E+00     7.53670-315
    D      0.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -6.21636E-02     7.53670-315
    D      1.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -6.56318E-02     7.53670-315
    D      1.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -6.90134E-02     7.53670-315
    D      2.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -7.23131E-02     7.53670-315
    D      2.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -7.55352E-02     7.53670-315
    D      3.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -7.86837E-02     7.53670-315
    D      3.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -8.17625E-02     7.53670-315
    D      4.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -8.47752E-02     7.53670-315
    D      4.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -8.77251E-02     7.53670-315
    D      5.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -9.06153E-02     7.53670-315
    D      5.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -9.34486E-02     7.53670-315
    D      6.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -9.62280E-02     7.53670-315
    D      6.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -9.89558E-02     7.53670-315
    D      7.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.01635E-01     7.53670-315
    D      7.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.04267E-01     7.53670-315
    D      8.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.06854E-01     7.53670-315
    D      8.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.09399E-01     7.53670-315
    D      9.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.11902E-01     7.53670-315
    D      9.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.14367E-01     7.53670-315
    D     10.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.16794E-01     7.53670-315
    D     10.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.19186E-01     7.53670-315
    D     11.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.21543E-01     7.53670-315
    D     11.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.23868E-01     7.53670-315
    D     12.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.26160E-01     7.53670-315
    D     12.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.28422E-01     7.53670-315
    D     13.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.30656E-01     7.53670-315
    D     13.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.32860E-01     7.53670-315
    D     14.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.35038E-01     7.53670-315
    D     14.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.37190E-01     7.53670-315
    D     15.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.39317E-01     7.53670-315
    D     15.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.41420E-01     7.53670-315
    D     16.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.43499E-01     7.53670-315
    D     16.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.45555E-01     7.53670-315
    D     17.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.47590E-01     7.53670-315
    D     17.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.49604E-01     7.53670-315
    D     18.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.51598E-01     7.53670-315
    D     18.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.53571E-01     7.53670-315
    D     19.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.55526E-01     7.53670-315
    D     19.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.57462E-01     7.53670-315
    D     20.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.59381E-01     7.53670-315
    D     20.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.61281E-01     7.53670-315
    D     21.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.63166E-01     7.53670-315
    D     21.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.65033E-01     7.53670-315
    D     22.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.66885E-01     7.53670-315
    D     22.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.68722E-01     7.53670-315
    D     23.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.70543E-01     7.53670-315
    D     23.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.72350E-01     7.53670-315
    D     24.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.74143E-01     7.53670-315
    D     24.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.75922E-01     7.53670-315
    D     25.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.77687E-01     7.53670-315
    D     25.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.79440E-01     7.53670-315
    D     26.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.81179E-01     7.53670-315
    D     26.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.82907E-01     7.53670-315
    D     27.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.84622E-01     7.53670-315
    D     27.50000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.86325E-01     7.53670-315
    D     28.00000      0.00000      0.00000     0.00000E+00     1.00000E-03    -1.88017E-01     7.53670-315
