State         Time      Voltage         mAhg        LixFe3O4      Elect_Conc      Solid_Conc        Reaction
  CDR        hours        Volts         mAhg        LixFe3O4         mol/cm3        LixFe3O4               ,
    D      0.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      0.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      1.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      1.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      2.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      2.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      3.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      3.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      4.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      4.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      5.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      5.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      6.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      6.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      7.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      7.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      8.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      8.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      9.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D      9.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     10.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     10.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     11.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     11.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     12.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     12.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     13.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     13.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     14.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     14.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     15.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     15.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     16.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     16.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     17.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     17.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     18.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     18.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     19.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     19.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     20.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     20.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     21.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     21.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     22.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     22.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     23.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     23.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     24.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     24.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     25.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     25.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     26.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     26.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     27.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     27.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     28.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     28.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     29.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     29.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     30.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     30.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     31.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     31.50000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
    D     32.00000      0.00000      0.00000      0.00000     1.00000E-03     0.00000E+00     2.56783E-02
