State         Time      Voltage     Position            mAhg        LixFe3O4      Elect_Conc      Solid_Conc        Reaction
    D      0.00000      0.00000      0.00000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.05000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.15000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.25000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.35000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.45000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.55000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.65000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.75000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.85000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      0.95000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.00000      0.00000      1.00000     0.00000E+00     0.00000E+00     1.00000E-03     3.30000E+00     7.53559-315
    D      0.50000      0.00000      0.00000     0.00000E+00     0.00000E+00     9.39291E-04     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.05000     0.00000E+00     0.00000E+00     9.88791E-04     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.15000     0.00000E+00     0.00000E+00     9.99368E-04     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.25000     0.00000E+00     0.00000E+00     9.99976E-04     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.35000     0.00000E+00     0.00000E+00     9.99999E-04     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.45000     0.00000E+00     0.00000E+00     1.00000E-03     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.55000     0.00000E+00     0.00000E+00     1.00000E-03     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.65000     0.00000E+00     0.00000E+00     1.00000E-03     3.29839E+00     7.53559-315
    D      0.50000      0.00000      0.75000     0.00000E+00     0.00000E+00     1.00000E-03     3.29839E+00     7.53559-315
